"","text","name","location","description"
"11","@gitlabstatus Still nothing?","Chris","Windsor, South East","Professional web developer and author of django-carrot"
"12","REMINDER: The container registry will be going read-only in 12 minutes at 17:00 UTC. Please see https://t.co/YZ98YHMYQP for more information.","Bruno Medici","",""
"13","The container registry will be set read-only for the migration from S3 to GCS. Please see https://t.co/YZ98YI4zIn for more info. https://t.co/FRkUs3EQOU","Felipe Reis","Itajubá, Brasil","Full-Stack Developer at Pandô Apps"
"14","REMINDER: The container registry will be going read-only in 12 minutes at 17:00 UTC. Please see https://t.co/YZ98YHMYQP for more information.","Valentin","P4X-639","Dev Web, créateur de framework et de librairies en tous genres. Réutilisation et simplification sont mes moteurs! Amateur de claviers à mes heures perdues <U+2328><U+FE0F>."
"15","REMINDER: The container registry will be going read-only in 12 minutes at 17:00 UTC. Please see https://t.co/YZ98YHMYQP for more information.","@acanimal","Outer space, formerly planet Earth","Software engineer as profession and hobby. Now working on @joppyme. Always https://t.co/Z7xKPrJ2I4"
"16","REMINDER: The container registry will be going read-only in 12 minutes at 17:00 UTC. Please see https://t.co/YZ98YHMYQP for more information.","<U+3089><U+308B><U+0001F981>","<U+6771><U+4EAC><U+90FD><U+6E0B><U+8C37><U+533A><U+677E><U+6FE4>","<U+0001F6B9> <U+0001F6AB>follow, RT<U+2260>Endorsement.| bot follow<U+2192><U+0001F645><U+200D><U+2640><U+FE0F> auto blocking by crontab /<U+0001F3F4>judge: https://t.co/gvD0SSMe8u |<U+0001F3C9><U+0001F430><U+0001F3A7><U+0001F493>|Sorry, No follow & comment back."
"17","@gitlabstatus The problem is now on ssh key with 2FA enable...","Kévin DE SOUSA","Bordeaux, France",""
"18","@gitlabstatus Thank you gitlab team <U+0001F642>","Boris Koumondji","Benin","Computer engineer, Developer Co-founder and CTO @ Nautilus Technology"
"19","We are starting to roll out the patch for the git https issues to our fleet. https://t.co/FRkUs3EQOU","Marek Walther","","Der Trampelpfad der Schafe endet stets beim Metzger."
"20","The root cause of CI Queue performance problems was resolved and the system is back now to normal capacity. We will continue to monitor it, but CI jobs should be processed without additional slowness. For more information see https://t.co/ZvQJANtnSP. https://t.co/FRkUs3EQOU","bosturbo","Ofuna, Japan","<U+3061><U+3044><U+3055><U+306A>MSP<U+3067><U+793E><U+5185><U+7528><U+306E><U+5C0F><U+3055><U+306A><U+30C4><U+30FC><U+30EB><U+3092><U+3061><U+3087><U+3053><U+3061><U+3087><U+3053><U+66F8><U+3044><U+305F><U+308A><U+3057><U+307E><U+3059><U+3002><U+8ECA><U+8F2A><U+306E><U+518D><U+767A><U+660E><U+3068><U+304B><U+3057><U+3066><U+307E><U+3059><U+3002>"
"21","@gitlabstatus Probably related to logging into registry failures ""unauthorized: HTTP Basic: Access denied""","Jakub Knejzlík","",""
"22","The root cause of CI Queue performance problems was resolved and the system is back now to normal capacity. We will continue to monitor it, but CI jobs should be processed without additional slowness. For more information see https://t.co/ZvQJANtnSP. https://t.co/FRkUs3EQOU","Onyx Point","Maryland, USA","Onyx Point, Inc. provides Security, System Administration, Puppet Automation, and DevOps consulting services for Government and commercial clients."
"23","We have identified an issue which is causing all Git HTTPS authentication for users using private access tokens - including all 2FA users - to fail. Apologies for any inconvenience. We are urgently working on a fix. Please switch to Git SSH or passw... https://t.co/FRkUs3EQOU","Onyx Point","Maryland, USA","Onyx Point, Inc. provides Security, System Administration, Puppet Automation, and DevOps consulting services for Government and commercial clients."
"24","The root cause of CI Queue performance problems was resolved and the system is back now to normal capacity. We will continue to monitor it, but CI jobs should be processed without additional slowness. For more information see https://t.co/ZvQJANtnSP. https://t.co/FRkUs3EQOU","tnir / Takuya Noguchi","Tokyo","aka @ tnir #GoogleNext18 SF&Tokyo; @cloudnativefdn ambassador; @gitlab core; OSS; SWE at tech startup in Tokyo,JP, contributor of @djangoproject, & other Py PJs"
"25","@gitlabstatus <U+2665><U+FE0F><U+2665><U+FE0F>","Failure Operations","Laramie, WY","Tough code, Caring humans. Open source, radically transparent platform building and hosting. One new product every other month. Outsource to us! <U+0001F914> @toxik_io."
"26","The root cause of CI Queue performance problems was resolved and the system is back now to normal capacity. We will continue to monitor it, but CI jobs should be processed without additional slowness. For more information see https://t.co/ZvQJANtnSP. https://t.co/FRkUs3EQOU","Failure Operations","Laramie, WY","Tough code, Caring humans. Open source, radically transparent platform building and hosting. One new product every other month. Outsource to us! <U+0001F914> @toxik_io."
"27","@gitlabstatus I had this issue 1h ago, workaround: that seems to be ok with deploy token ;-)","Alexandre V","Poitiers, France","Have you tried turning it off and on again !? Work @TCS #Symfony #Poitiers  https://t.co/dNP9KNrEWu https://t.co/V8jPmASuc9"
"28","We have identified an issue which is causing all Git HTTPS authentication for users using private access tokens - including all 2FA users - to fail. Apologies for any inconvenience. We are urgently working on a fix. Please switch to Git SSH or passw... https://t.co/FRkUs3EQOU","JitPack.io","Gradle, Maven, Sbt, Lein","Easy to use package repository for #JVM and #Android. JitPack builds Git projects on demand and provides ready-to-use packages. Status: https://t.co/4sizTRBQXn"
"29","We have identified an issue which is causing all Git HTTPS authentication for users using private access tokens - including all 2FA users - to fail. Apologies for any inconvenience. We are urgently working on a fix. Please switch to Git SSH or passw... https://t.co/FRkUs3EQOU","GitLab.JP","","<U+3053><U+3061><U+3089><U+306E><U+30A2><U+30AB><U+30A6><U+30F3><U+30C8><U+306F><U+975E><U+516C><U+5F0F><U+30A2><U+30AB><U+30A6><U+30F3><U+30C8><U+3067><U+3059><U+3002>
GitLab<U+3092><U+65E5><U+672C><U+3067><U+5E83><U+3081><U+308B><U+305F><U+3081><U+306B><U+3001><U+500B><U+4EBA><U+3067><U+958B><U+8A2D><U+3057><U+305F><U+3082><U+306E><U+3067><U+3059><U+304C><U+3001><U+73FE><U+5728><U+306F><U+56FD><U+5185><U+4EE3><U+7406><U+5E97><U+3068><U+30E6><U+30FC><U+30B6><U+30FC><U+30B0><U+30EB><U+30FC><U+30D7><U+306E><U+4E21><U+65B9><U+306B><U+6240><U+5C5E><U+3057><U+3066><U+3044><U+307E><U+3059><U+3002>"
"30","We're investigating problems with CI Queue performance","GitLab.JP","","<U+3053><U+3061><U+3089><U+306E><U+30A2><U+30AB><U+30A6><U+30F3><U+30C8><U+306F><U+975E><U+516C><U+5F0F><U+30A2><U+30AB><U+30A6><U+30F3><U+30C8><U+3067><U+3059><U+3002>
GitLab<U+3092><U+65E5><U+672C><U+3067><U+5E83><U+3081><U+308B><U+305F><U+3081><U+306B><U+3001><U+500B><U+4EBA><U+3067><U+958B><U+8A2D><U+3057><U+305F><U+3082><U+306E><U+3067><U+3059><U+304C><U+3001><U+73FE><U+5728><U+306F><U+56FD><U+5185><U+4EE3><U+7406><U+5E97><U+3068><U+30E6><U+30FC><U+30B6><U+30FC><U+30B0><U+30EB><U+30FC><U+30D7><U+306E><U+4E21><U+65B9><U+306B><U+6240><U+5C5E><U+3057><U+3066><U+3044><U+307E><U+3059><U+3002>"
"31","We have identified an issue which is causing all Git HTTPS authentication for users using private access tokens - including all 2FA users - to fail. Apologies for any inconvenience. We are urgently working on a fix. Please switch to Git SSH or passw... https://t.co/FRkUs3EQOU","PostLab","The Netherlands","True collaboration software for Final Cut Pro X"
"32","We have identified an issue which is causing all Git HTTPS authentication for users using private access tokens - including all 2FA users - to fail. Apologies for any inconvenience. We are urgently working on a fix. Please switch to Git SSH or passw... https://t.co/FRkUs3EQOU","Nicolas Kerdelhué","Nantes, France","Front-End Engineer @BeesbusyApp.    I do JS, React, Angular, some C# and Python. 
I like coffee (and trains)"
"33","@gitlabstatus What about now ?","Nicolas Kerdelhué","Nantes, France","Front-End Engineer @BeesbusyApp.    I do JS, React, Angular, some C# and Python. 
I like coffee (and trains)"
"34","We have identified an issue which is causing all Git HTTPS authentication for users using private access tokens - including all 2FA users - to fail. Apologies for any inconvenience. We are urgently working on a fix. Please switch to Git SSH or passw... https://t.co/FRkUs3EQOU","Efren Narváez","Quito, Ecuador","Technology Lover, software developer <U+0001F468><U+200D><U+0001F4BB> and Dragon Ball fan."
"35","@gitlabstatus https://t.co/J7agf6s8c0","Pierre Faniel","Ixelles, Belgique","Software Developper"
"36","@gitlabstatus Since you have been migrating to @googlecloud platform. What are your @ipv6excuses for not toggling the IPv6 button? #IPv6 https://t.co/MZ6wtQBlUk","w://iam","Belgium","Just a tech • @ArchLinux | @LibreOffice | @Mattermost | @Chocolateynuget contributor • @Pixinko cofounder | dev | sysadmin • PGP: https://t.co/hkCKnLhJ7c"
"37","@gitlabstatus Is there an issue with https://t.co/QGoPO5OhSg? I'm getting an unauthorised error when logging into the registry.","Luke Mallon","Ireland","Father, Gamer, Software Engineer, Human PGP Fingerprint: 25B7 F579 E4B2 46D7 5DE6 4606 8938 41A3 E2C4 D6F5 #CKA #CKAD"
"38","@gitlabstatus Hello, since this morning, I can't access GitLab repositories from GitHub Desktop. Any issue with the API ?","Jonathan Beliën","Brussels, Belgium","Web Developer ;
Specialist in cartography ;
OpenStreetMap Belgium ( @osm_be ) board member ; @OpenLabsAlbania member ;
#LEGO fan ;"
"39","@gitlabstatus Any issue with missing commits during this performance issue? Possibly around 6:30 am PST","ferros","",""
"40","@gitlabstatus All that extra traffic from the @github outage on Monday <U+0001F602>","David Colombo","Localhost","Developer, hacker and system administrator from Germany | Make a better world; with code | Currently working @colombo_tech"
"41","@gitlabstatus All that extra traffic from the @github outage on Monday <U+0001F602>","Nathaniel Suchy","Chapel Hill, NC","Student at @WakeTechCC | Reverse Engineer, Software Developer, English & German Speaker | <U+0001F3F3><U+FE0F><U+200D><U+0001F308> Non-binary (They/Them pronouns), Asexual/Aromantic | DMs Open <U+0001F60A>"
"42","@gitlabstatus The merge requests don't seem to see when the associated branch is update. Is it linked?","Maxime Lafontaine","Québec",""
"43","@gitlabstatus https://t.co/Q6tLEFfgtB","Downosaur","Internet","Don't miss that meteor coming"
"44","@gitlabstatus <U+0001F680>","Downosaur","Internet","Don't miss that meteor coming"
"45","While enabling a feature to ensure better transaction recovery in an emergency / failure state, some background queues have started to grow in size. We are investigating why and rolling back the change. Users may notice some processes being delayed. https://t.co/FRkUs3EQOU","Jota de Paula","Belo Horizonte, MG","Coder <U+0001F468><U+0001F3FB><U+200D><U+0001F4BB>  <U+0001F1E7><U+0001F1F7> Open Source enthusiast <U+0001F680>
skateboard lover"
"46","@cronobo We are sorry for the inconvenience. We are still experiencing slowness and our team is working on it. You can always check the latest news via @gitlabstatus twitter profile and this is the latest https://t.co/wh2Y956Mvo","GitLab","","GitLab is a single application for the entire DevOps lifecycle. Everyone can contribute. Follow @GitLabStatus for service information."
"47","@venkateshdada We've been experiencing slowness, our team is working on it. You can always check the status on our @gitlabstatus twitter profile https://t.co/wh2Y956Mvo","GitLab","","GitLab is a single application for the entire DevOps lifecycle. Everyone can contribute. Follow @GitLabStatus for service information."
"48","@gitlabstatus my app needs to be deployed, please help!","Libert R Schmidt","Washington, DC","cloud computing enthusiast <U+2601><U+FE0F>. 
formerly @witlingo"
"49","@gitlabstatus Yes, thanks","Libert R Schmidt","Washington, DC","cloud computing enthusiast <U+2601><U+FE0F>. 
formerly @witlingo"
"50","Why am I seeing pending in pipeline build status @gitlabstatus https://t.co/FAtDdyGjJw","venkatesh daliparthi","Texas, USA","student"
"51","@gitlabstatus is there a ticket we can follow?","Marco Ebbinghaus","Dortmund, Germany","Softwarecraftman (on my way there). Infrastructure as code. Automation. CI/CD-Pipelines. Docker. Microservices. TDD. Clean Code. Java. Nerd. <U+0001F916>"
"52","We've identified the root cause of CI queues performance problem. We're now working on a fix. https://t.co/FRkUs3EQOU","<U+3050><U+3089><U+305F><U+3093>","/dev/null","<U+51AC><U+7720><U+3057><U+305F><U+3044> \ 
<U+672A><U+8E0F><U+30B8><U+30E5><U+30CB><U+30A2>2018<U+63A1><U+629E><U+3055><U+308C><U+307E><U+3057><U+305F> \ GitLab<U+304C><U+30E1><U+30A4><U+30F3><U+3067>GitHub<U+306F><U+30B5><U+30D6><U+3067><U+3059>  https://t.co/aoWoyW3aDD"
"53","@gitlabstatus Problem is still there, I have jobs pending much longer than usual. Also, we cannot access the dashboards anymore is that intentionnal ? https://t.co/cZzOb4pya3","cronoboHQ","France","VFX Software - Consulting - Makers of Nexture. We develop and research art-related technologies based on Neural Networks and Cloud Computing"
"54","We're investigating problems with CI Queue performance","Eduardo Aguilar","México","Programador BackEnd, entusiasta de las nuevas tecnologias, guitarrista."
"55","The container registry will be set to read only from 2018-10-27 17:00 UTC to 19:00 UTC as we migrate the registry data from S3 to Google Cloud Storage. Please see https://t.co/YZ98YI4zIn for more information.","codesmell","Leipzig",""
"56","The container registry will be set to read only from 2018-10-27 17:00 UTC to 19:00 UTC as we migrate the registry data from S3 to Google Cloud Storage. Please see https://t.co/YZ98YI4zIn for more information.","Mahmoud","Islamic Republic of Iran",""
"57","@gitlabstatus My job just had a runner assigned and executed successfully, after a previous one timed out during docker pull. Either it's starting to unwind the queue and normalize, or it will work for others intermittently as well I'd guess. Not totally down though.","Mike Hardy","Austin, TX","intentional vagabond at the moment"
"58","@gitlabstatus any news?","Adriano Antonucci","Umuarama, Brasil",""
"59","@gitlabstatus ?","Adriano Antonucci","Umuarama, Brasil",""
"60","@gitlabstatus Any news ?","Tomasz Grochowski","Poland","Programmer, indie game dev, karaoke DJ, practicing singer, hitchhiker.
Collecting as many unique experiences as possible, and striving for self-improvement"
"61","Please @gitlabstatus, get your shit together.","Diogo Campos","Oporto, Portugal","Boston sports. Benfica. Arsenal. Cars. Retrogaming enthusiast. Social Liberal. Sometimes I also code. INTP-A. PT/EN/ES/CAT"
"62","@gitlabstatus Any updates?","Aquib Javed","Los Angeles, CA","your bio is just as bad as mine"
"63","We're investigating problems with CI Queue performance","<U+3077><U+3089><U+3059>","<U+65E5><U+672C> <U+4EAC><U+90FD>","<U+4EAC><U+5927>2<U+56DE> <U+30D7><U+30ED><U+30B0><U+30E9><U+30DF><U+30F3><U+30B0><U+3084><U+3063><U+3066><U+307E><U+3059> Python/C/Kotlin KU<U+4F11><U+8B1B><U+60C5><U+5831>Bot @KUBotver2 <U+30D0><U+30A4><U+30C8><U+5148><U+63A2><U+3057><U+3066><U+307E><U+3059> GitHub https://t.co/2cpCRalzMr  https://t.co/BU62SZdvAT"
"64","@gitlabstatus All good now, back to development bliss.","Johnny Rubeard","Himeji-shi, Hyogo","Rubyist, Rails developer, husband, father to two <U+0001F476> and 3 <U+0001F415>, lover of beers<U+0001F37A> and sake<U+0001F376>. Born in <U+0001F1EC><U+0001F1E7> live and work in <U+0001F1EF><U+0001F1F5>."
"65","We're investigating problems with CI Queue performance","Ferris Hall","Staverton, Wiltshire","Retired professionally amateur rugby player (broken body). Work in IT. Gamer and all round nerd. Tweet a lot about games, IT, food, movies and rugby"
"66","@gitlabstatus Seems to still be happening for several people in my workshop.","Michael Nygard","Florida","Cognitect, Inc.       Author of Release It!, speaker"
"67","@gitlabstatus I'm seeing CI/CD jobs sitting in ""Pending"" state for 30+ minutes. Is everything ok?","Michael Nygard","Florida","Cognitect, Inc.       Author of Release It!, speaker"
"68","@gitlabstatus Any current shared runner issues? Have a CI/CD job that's been pending validation for over 20 minutes. Thanks!","Scott McAndrew","Edinburgh",""
"69","@gitlab @gitlabstatus Related (but issue still ongoing): https://t.co/C2diGouoTR","Adrian Schönig","Nuremberg, Germany","Software engineer. iOS developer of @TripGo. Enjoys tackling algorithm and user experience challenges to make life easier."
